FID,REPORTDATE,BLOCKADD,OFFENSE
2187,2008-12-11 00:00:00,2100 Block 30th St,Theft From Vehicle
2188,2009-12-10 00:00:00,1301 Block Pennsylvania Av,Burglary
2189,2008-02-22 00:00:00,2100 Block Grove Cr,Vandalism
2190,2009-08-29 00:00:00,1300 Block Cascade Ave,Vandalism
2191,2010-04-12 00:00:00,2300 Block 14th St,Trespassing
2192,2009-07-23 00:00:00,1000 Block Adams Cr,Vandalism
2193,2008-10-09 00:00:00,Idylwild Trl & Lookout Rd,Vandalism
2194,2010-08-29 00:00:00,400 Block Dakota Blvd,Burglary
2195,2008-07-15 00:00:00,Arapahoe Ave & Foothills Pkwy,Indecent Exposure
2196,2009-06-18 00:00:00,200 Block Pawnee Dr,Vandalism
2197,2009-06-26 00:00:00,1500 Block 48th St,Theft From Vehicle
2198,2009-11-13 00:00:00,16th St & Pearl St,Theft From Vehicle
2199,2009-09-11 00:00:00,29th St & Arapahoe Ave,Vandalism
2200,2009-11-08 00:00:00,1800 Block Norwood Ave,Burglary
2201,2008-06-11 00:00:00,1800 Block 19th St,Vandalism
2202,2008-05-28 00:00:00,19th St & Norwood Ave,Vandalism
2203,2008-07-04 00:00:00,Hanover Ave & Lashley Ln,Vandalism
2204,2009-10-01 00:00:00,1700 Block 22nd St,Theft From Vehicle
2205,2008-06-20 00:00:00,1700 Block Broadway,Burglary
2206,2011-02-19 00:00:00,900 Block Marine St,Burglary
2207,2009-09-18 00:00:00,1000 Block W Moorhead Cir,Vandalism
2208,2009-08-07 00:00:00,1400 Block Pearl St,Vandalism
2209,2012-03-09 00:00:00,700 Block 19th St,Vandalism
2210,2009-09-13 00:00:00,1100 Block Grandview Ave,Vandalism
2211,2009-03-21 00:00:00,1600 Block Columbine Ave,Burglary
2212,2009-08-25 00:00:00,5700 Block Arapahoe Ave,Burglary
2213,2009-05-19 00:00:00,4700 Block Shawnee Pl,Vandalism
2214,2008-06-30 00:00:00,1900 Block Canyon Bv,Vandalism
2215,2011-11-12 00:00:00,S Broadway & Dartmouth Ave,Theft From Vehicle
2216,2012-07-29 00:00:00,1400 Block Pearl St,Vandalism
2217,2012-12-22 00:00:00,1000 Block 14th St,Burglary
2218,2011-03-01 00:00:00,2300 Block 30th St,Theft From Vehicle
2219,2009-07-24 00:00:00,1500 Block Lee Hill Dr,Theft From Vehicle
2220,2012-05-17 00:00:00,500 Block 30th St,Vandalism
2221,2008-05-27 00:00:00,1600 Block Arapahoe Ave,Auto Theft
2222,2008-01-22 00:00:00,3500 Block Arthur Ct,Burglary
2223,2008-03-28 00:00:00,500 Block Locust Pl,Trespassing
2224,2009-06-16 00:00:00,800 Block Mapleton Ave,Incident
2225,2009-11-27 00:00:00,2700 Block Arapahoe Ave,Burglary
2226,2009-07-08 00:00:00,7th St & 8th St,Vandalism
2227,2009-06-26 00:00:00,700 Block Mohawk Dr,Vandalism
2228,2010-03-18 00:00:00,3600 Block Hayden Pl,Burglary
2229,2010-03-17 00:00:00,3300 Block 15th St,Vandalism
2230,2008-11-03 00:00:00,5700 Block Central Ave,Theft From Vehicle
2231,2009-08-09 00:00:00,1800 Block 29th St,Indecent Exposure
2232,2008-02-22 00:00:00,3100 Block Iris Ave,Incident
2233,2010-09-12 00:00:00,4300 Block 19th St,Incident
2234,2008-08-06 00:00:00,900 Block Pearl St,Burglary
2235,2010-09-06 00:00:00,1000 Block 11th St,Burglary
2236,2009-01-06 00:00:00,7300 Block Doral Dr,Vandalism
2237,2009-08-12 00:00:00,700 Block Morgan Dr,Theft From Vehicle
2238,2010-04-27 00:00:00,4900 Block Thunderbird Cir,Vandalism
2239,2009-12-14 00:00:00,Bell Dr & Edison Ave,Theft From Vehicle
2240,2009-08-06 00:00:00,1000 Block 12th St,Theft From Vehicle
2241,2010-01-20 00:00:00,1900 Block Arapahoe Ave,Theft From Vehicle
2242,2010-06-08 00:00:00,2700 Block Baseline Rd,Trespassing
2243,2008-04-18 00:00:00,10th St & Pearl St,Vandalism
2244,2011-09-21 00:00:00,2200 Block Spruce St,Theft From Vehicle
2245,2009-10-04 00:00:00,3100 Block 11th St,Theft From Vehicle
2246,2012-07-17 00:00:00,11th St & Marine St,Vandalism
2247,2008-05-02 00:00:00,2800 Block Sundown Ln,Vandalism
2248,2010-08-09 00:00:00,1100 Block 13th St,Incident
2249,2008-09-05 00:00:00,2900 Block Glenwood Dr,Theft From Vehicle
2250,2010-04-19 00:00:00,2900 Block E Aurora Ave,Vandalism
2251,2009-11-28 00:00:00,2500 Block Cragmore Rd,Vandalism
2252,2008-07-22 00:00:00,100 Block Cherokee Way,Auto Theft
2253,2012-12-21 00:00:00,3100 Block Fremont Ave,Burglary
2254,2009-01-20 00:00:00,200 Block Manhattan Dr,Vandalism
2255,2011-03-12 00:00:00,1000 Block 15th St,Burglary
2256,2009-05-15 00:00:00,2300 Block Mapleton Ave,Theft From Vehicle
2257,2009-12-15 00:00:00,1600 Block 16th St,Vandalism
2258,2009-07-01 00:00:00,1200 Block Pearl St,Burglary
2259,2010-09-01 00:00:00,500 Block 13th St,Vandalism
2260,2010-10-11 00:00:00,200 Block Pearl St,Burglary
2261,2008-09-20 00:00:00,4700 Block Arapahoe Ave,Burglary
2262,2008-08-21 00:00:00,4900 Block Broadway,Incident
2263,2017-12-01 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
2264,2017-12-01 00:00:00,2400 Block Spruce St,Auto Theft
2265,2017-12-23 00:00:00,2400 Block Baseline Rd,Trespassing
2266,2017-11-30 00:00:00,1700 Block 6th St,Incident
2267,2017-11-23 00:00:00,900 Block 15th St,Burglary
2268,2017-12-12 00:00:00,1600 Block Hawthorne Pl,Burglary
2269,2017-11-23 00:00:00,1100 Block Maxwell Ave,Trespassing
2270,2018-03-19 00:00:00,2900 Block E Aurora Ave,Burglary
2271,2018-03-19 00:00:00,13th St & Pearl St,Vandalism
2272,2017-10-28 00:00:00,1200 Block Alpine Ave,Vandalism
2273,2017-11-12 00:00:00,4900 Block Twin Lakes Rd,Vandalism
2274,2017-11-28 00:00:00,3000 Block Oneal Py,Sex Assault
2275,2017-11-29 00:00:00,2500 Block Balsam Dr,Auto Theft
2276,2017-11-19 00:00:00,3000 Block Arapahoe Ave,Burglary
2277,2017-11-22 00:00:00,500 Block Pearl St,Theft From Vehicle
2278,2017-11-22 00:00:00,4700 Block Pearl St,Theft From Vehicle
2279,2017-11-23 00:00:00,6500 Block Odell Pl,Burglary
2280,2017-09-16 00:00:00,1500 Block Broadway,Trespassing
2281,2017-11-23 00:00:00,5000 Block Butte St,Auto Theft
2282,2017-11-24 00:00:00,2100 Block 28th St,Vandalism
2283,2017-11-24 00:00:00,300 Block 15th St,Auto Theft
2284,2017-11-17 00:00:00,2800 Block Iris Ave,Trespassing
2285,2017-11-17 00:00:00,2600 Block Juniper Ave,Trespassing
2286,2017-11-17 00:00:00,30th St & Pearl St,Sex Assault
2287,2017-11-19 00:00:00,2700 Block Arapahoe Ave,Vandalism
2288,2017-11-19 00:00:00,2100 Block Grove Cr,Theft From Vehicle
2289,2017-11-23 00:00:00,2000 Block Dartmouth Ave,Theft From Vehicle
2290,2017-11-17 00:00:00,5900 Block Arapahoe Ave,Auto Theft
2291,2017-11-17 00:00:00,4700 Block Valmont Rd,Auto Theft
2292,2017-11-17 00:00:00,S 36th St & Eastman Ave,Incident
2293,2017-09-05 00:00:00,700 Block Canyon Bv,Trespassing
2294,2017-09-06 00:00:00,1800 Block Folsom St,Trespassing
2295,2017-09-15 00:00:00,1800 Block 28th St,Trespassing
2296,2017-11-15 00:00:00,Broadway & Pearl St,Assault
2297,2017-11-16 00:00:00,3300 Block 28th St,Indecent Exposure
2298,2017-11-16 00:00:00,900 Block 15th St,Burglary
2299,2017-11-17 00:00:00,1900 Block Columbine Ave,Vandalism
2300,2017-11-15 00:00:00,1600 Block 29th St,Theft From Vehicle
2301,2017-11-19 00:00:00,1400 Block Pearl St,Burglary
2302,2017-11-19 00:00:00,4700 Block Pearl East Cr,Theft From Vehicle
2303,2017-11-19 00:00:00,3100 Block Broadway,Theft From Vehicle
2304,2017-11-19 00:00:00,4400 Block Laguna Pl,Theft From Vehicle
2305,2017-11-19 00:00:00,4600 Block 13th St,Assault
2306,2017-11-19 00:00:00,3000 Block 30th St,Vandalism
2307,2017-11-13 00:00:00,2500 Block Pine St,Incident
2308,2017-11-08 00:00:00,3100 Block Pearl Py,Incident
2309,2017-11-16 00:00:00,00 Block Manhattan Dr,Burglary
2310,2017-10-31 00:00:00,1100 Block 11th St,Vandalism
2311,2017-11-18 00:00:00,3800 Block Orion Ct,Burglary
2312,2017-11-18 00:00:00,1300 Block Broadway,Vandalism
2313,2017-11-16 00:00:00,30th St & Mapleton Ave,Theft From Vehicle
2314,2017-11-05 00:00:00,1100 Block 13th St,Theft From Vehicle
2315,2017-11-08 00:00:00,900 Block E Moorhead Cr,Theft From Vehicle
2316,2017-11-09 00:00:00,1600 Block 30th St,Trespassing
2317,2017-11-06 00:00:00,1100 Block Pleasant St,Burglary
2318,2017-11-03 00:00:00,3200 Block 11th St,Vandalism
2319,2017-11-10 00:00:00,1800 Block 23rd St,Sex Assault
2320,2017-11-08 00:00:00,800 Block 29th St,Motorcycle Theft
2321,2017-11-01 00:00:00,2800 Block Sundown Ln,Vandalism
2322,2017-10-29 00:00:00,3600 Block Darley Av,Vandalism
2323,2017-11-12 00:00:00,500 Block Mohawk Dr,Vandalism
2324,2017-10-27 00:00:00,4900 Block Moorhead Ave,Vandalism
2325,2017-10-28 00:00:00,28th St & Pearl St,Theft From Vehicle
2326,2017-11-07 00:00:00,900 Block Broadway,Vandalism
2327,2017-10-25 00:00:00,2700 Block 28th St,Burglary
2328,2009-09-04 00:00:00,2600 Block 28th St,Robbery
2329,2009-08-12 00:00:00,1000 Block Toedtli Dr,Incident
2330,2008-01-17 00:00:00,4500 Block 19th St,Vandalism
2331,2012-01-05 00:00:00,2700 Block Moorhead Ave,Burglary
2332,2009-10-08 00:00:00,21st St & Floral Dr,Incident
2333,2011-08-23 00:00:00,Folsom St & Walnut St,Incident
2334,2010-02-26 00:00:00,1400 Block Canyon Bv,Theft From Vehicle
2335,2008-05-24 00:00:00,4900 Block Meredith Way,Auto Theft
2336,2011-08-06 00:00:00,7th St & Arapahoe Ave,Vandalism
2337,2008-07-30 00:00:00,700 Block North St,Theft From Vehicle
2338,2009-10-23 00:00:00,1900 Block Mariposa Ave,Burglary
2339,2009-07-25 00:00:00,1200 Block Folsom St,Incident
2340,2009-09-04 00:00:00,8th St & Marine St,Auto Theft
2341,2008-08-28 00:00:00,3100 Block Airport Rd,Trespassing
2342,2008-01-03 00:00:00,600 Block Manhattan Pl,Theft From Vehicle
2343,2008-12-04 00:00:00,4400 Block Laguna Pl,Theft From Vehicle
2344,2009-05-02 00:00:00,300 Block Mapleton Ave,Vandalism
2345,2010-03-06 00:00:00,4400 Block Broadway,Vandalism
2346,2009-06-27 00:00:00,800 Block College Ave,Vandalism
2347,2010-06-27 00:00:00,4900 Block Twin Lakes Rd,Theft From Vehicle
2348,2009-05-15 00:00:00,13th St & Arapahoe Ave,Auto Theft
2349,2010-01-19 00:00:00,900 Block Marine St,Theft From Vehicle
2350,2008-07-12 00:00:00,1000 Block 10th St,Burglary
2351,2008-04-04 00:00:00,2800 Block Kalmia Ave,Theft From Vehicle
2352,2010-01-17 00:00:00,200 Block 30th St,Theft From Vehicle
2353,2008-04-22 00:00:00,1200 Block Pearl St,Trespassing
2354,2011-10-12 00:00:00,00 Block S 32nd St,Vandalism
2355,2009-10-28 00:00:00,1300 Block Grandview Ave,Sex Assault
2356,2009-07-31 00:00:00,1400 Block Broadway,Burglary
2357,2008-09-20 00:00:00,1700 Block Conestoga St,Vandalism
2358,2009-12-01 00:00:00,700 Block Pine St,Theft From Vehicle
2359,2010-02-06 00:00:00,800 Block Mapleton Ave,Trespassing
2360,2009-09-30 00:00:00,3000 Block 25th St,Vandalism
2361,2010-10-11 00:00:00,2900 Block Baseline Rd,Robbery
2362,2012-12-21 00:00:00,13th St & College Ave,Theft From Vehicle
2363,2009-03-13 00:00:00,2600 Block Taft Dr,Theft From Vehicle
2364,2008-02-09 00:00:00,1400 Block 11th St,Vandalism
2365,2009-05-07 00:00:00,13th St & Grandview Ave,Assault
2366,2009-09-15 00:00:00,1500 Block Broadway,Vandalism
2367,2008-04-01 00:00:00,4900 Block Thunderbird Cr,Incident
2368,2008-11-29 00:00:00,00 Block Broadway,Trespassing
2369,2011-05-15 00:00:00,3000 Block Noble Ct,Vandalism
2370,2011-10-12 00:00:00,2800 Block Pearl St,Vandalism
2371,2008-04-18 00:00:00,3000 Block 23rd St,Auto Theft
2372,2009-11-21 00:00:00,1000 Block 9th St,Trespassing
2373,2008-12-16 00:00:00,1800 Block Pearl St,Trespassing
2374,2008-07-03 00:00:00,2600 Block 28th St,Vandalism
2375,2011-06-24 00:00:00,300 Block Arapahoe Ave,Theft From Vehicle
2376,2009-08-16 00:00:00,200 Block 32nd St,Theft From Vehicle
2377,2008-04-12 00:00:00,1100 Block Balsam Ave,Assault
2378,2009-12-11 00:00:00,1800 Block 30th St,Trespassing
2379,2008-01-01 00:00:00,3000 Block 6th St,Vandalism
2380,2009-01-01 00:00:00,1300 Block 19th St,Theft From Vehicle
2381,2008-10-26 00:00:00,1000 Block Fairway Ct,Burglary
2382,2010-08-30 00:00:00,2900 Block Wilderness Pl,Vandalism
2383,2008-03-28 00:00:00,400 Block S Lashley Ln,Burglary
2384,2008-08-26 00:00:00,2200 Block Spruce St,Theft From Vehicle
2385,2012-12-21 00:00:00,300 Block 29th St,Theft From Vehicle
2386,2010-01-19 00:00:00,1100 Block University Ave,Vandalism
2387,2008-11-12 00:00:00,2000 Block Goss St,Auto Theft
2388,2008-06-03 00:00:00,5000 Block Butte St,Auto Theft
2389,2008-05-11 00:00:00,2100 Block Table Mesa Dr,Sex Assault
2390,2012-01-21 00:00:00,4800 Block Meredith Way,Assault
2391,2012-01-06 00:00:00,900 Block University Ave,Burglary
2392,2009-07-14 00:00:00,15th St & Euclid Ave,Sex Assault
2393,2009-01-29 00:00:00,5300 Block Arapahoe Ave,Incident
2394,2010-03-24 00:00:00,2900 Block Baseline Rd,Incident
2395,2009-06-09 00:00:00,700 Block Ithica Dr,Theft Of Car Parts
2396,2008-11-20 00:00:00,600 Block S 41st St,Theft From Vehicle
2397,2009-05-20 00:00:00,1900 Block Pine St,Vandalism
2398,2010-01-11 00:00:00,700 Block Marine St,Vandalism
2399,2008-04-06 00:00:00,2300 Block 55th St,Burglary
2400,2012-04-17 00:00:00,3600 Block Chase Ct,Burglary
2401,2011-03-05 00:00:00,11th St & Pearl St,Assault
2402,2009-05-01 00:00:00,4400 Block Hamilton Ct,Theft From Vehicle
2403,2008-08-31 00:00:00,1100 Block 11th St,Robbery
2404,2008-11-26 00:00:00,3400 Block Stanford Ave,Vandalism
2405,2009-02-13 00:00:00,4700 Block Table Mesa Dr,Robbery
2406,2008-12-12 00:00:00,3800 Block Northbrook Dr,Theft From Vehicle
2407,2009-05-17 00:00:00,4800 Block Kings Ridge Blvd,Theft From Vehicle
2408,2008-09-14 00:00:00,2800 Block Kalmia Ave,Theft From Vehicle
2409,2009-10-20 00:00:00,800 Block Walnut St,Burglary
2410,2008-09-27 00:00:00,16th St & Arapahoe Ave,Theft From Vehicle
2411,2011-07-28 00:00:00,13th St & Alpine Ave,Theft From Vehicle
2412,2008-04-07 00:00:00,3000 Block 30th St,Burglary
2413,2009-11-08 00:00:00,1900 Block 28th St,Theft From Vehicle
2414,2009-01-30 00:00:00,2200 Block Pine St,Trespassing
2415,2009-02-16 00:00:00,1600 Block 28th St,Vandalism
2416,2010-01-23 00:00:00,600 Block S Broadway,Trespassing
2417,2009-03-01 00:00:00,4800 Block Osage Dr,Burglary
2418,2009-01-08 00:00:00,4900 Block Tesla Ct,Vandalism
2419,2008-05-16 00:00:00,900 Block 16th St,Burglary
2420,2008-07-05 00:00:00,400 Block 20th St,Vandalism
2421,2008-07-22 00:00:00,4800 Block Fountain St,Theft From Vehicle
2422,2008-05-21 00:00:00,3200 Block Oneal Cr,Vandalism
2423,2009-05-19 00:00:00,2300 Block Bluff St,Vandalism
2424,2009-04-06 00:00:00,10th St & Pennsylvania Ave,Vandalism
2425,2010-06-21 00:00:00,5000 Block Chaparal Ct,Vandalism
2426,2009-03-19 00:00:00,Arapahoe Av & Foothills Py,Trespassing
2427,2010-03-17 00:00:00,3100 Block Bucknell Ct,Vandalism
2428,2010-05-28 00:00:00,1100 Block College Ave,Vandalism
2429,2009-11-04 00:00:00,1100 Block 13th St,Vandalism
2430,2010-04-02 00:00:00,2100 Block Baseline Rd,Vandalism
2431,2009-11-27 00:00:00,1900 Block 11th St,Trespassing
2432,2009-01-21 00:00:00,1400 Block Arapahoe Ave,Trespassing
2433,2010-04-01 00:00:00,3700 Block Iris Ave,Theft From Vehicle
2434,2009-05-06 00:00:00,3000 Block Valmont Rd,Robbery
2435,2010-04-25 00:00:00,2100 Block Mariposa Ave,Vandalism
2436,2010-04-21 00:00:00,1500 Block 30th St,Vandalism
2437,2008-04-18 00:00:00,1700 Block 17th St,Vandalism
2438,2009-05-29 00:00:00,1300 Block Pearl St,Vandalism
2439,2012-01-06 00:00:00,2900 Block Baseline Rd,Theft Of Car Parts
2440,2011-12-09 00:00:00,1100 Block 12th St,Indecent Exposure
2441,2011-06-17 00:00:00,1600 Block 30th St,Indecent Exposure
2442,2008-09-06 00:00:00,900 Block Mcintire St,Auto Theft
2443,2010-04-25 00:00:00,2500 Block Arapahoe Ave,Vandalism
2444,2012-01-06 00:00:00,5700 Block Arapahoe Ave,Auto Theft
2445,2008-02-09 00:00:00,1200 Block Walnut St,Robbery
2446,2008-06-30 00:00:00,2900 Block 11th St,Theft From Vehicle
2447,2008-08-10 00:00:00,1200 Block Linden Ave,Burglary
2448,2008-11-05 00:00:00,700 Block Pearl St,Trespassing
2449,2009-05-01 00:00:00,4600 Block Moorhead Ave,Theft From Vehicle
2450,2009-09-11 00:00:00,1300 Block College Ave,Burglary
2451,2008-03-25 00:00:00,1400 Block Pearl St,Vandalism
2452,2008-01-11 00:00:00,1800 Block Canyon Blvd,Theft From Vehicle
2453,2008-07-02 00:00:00,1500 Block Lehigh St,Theft From Vehicle
2454,2008-02-23 00:00:00,2043 Block Broadway,Vandalism
2455,2011-07-24 00:00:00,4500 Block 19th St,Vandalism
2456,2010-09-03 00:00:00,4800 Block Pearl Pkwy,Vandalism
2457,2008-10-17 00:00:00,1700 Block Folsom St,Vandalism
2458,2009-03-28 00:00:00,2100 Block Mesa Dr,Assault
2459,2009-08-13 00:00:00,400 Block Arapahoe Ave,Sex Assault
2460,2009-01-15 00:00:00,1800 Block 22nd St,Burglary
2461,2011-03-01 00:00:00,3100 Block 34th St,Vandalism
2462,2008-07-17 00:00:00,2500 Block Arapahoe Ave,Trespassing
2463,2012-08-16 00:00:00,1600 Block Arapahoe Ave,Vandalism
2464,2008-01-05 00:00:00,1000 Block Grandview Ave,Burglary
2465,2010-06-14 00:00:00,2800 Block 29th St,Vandalism
2466,2009-06-17 00:00:00,600 Block S Broadway,Theft From Vehicle
2467,2010-04-09 00:00:00,1700 Block Pearl St,Vandalism
2468,2008-01-22 00:00:00,2700 Block University Heights Av,Vandalism
2469,2008-09-30 00:00:00,300 Block S Broadway,Vandalism
2470,2009-04-18 00:00:00,2100 Block Arapahoe Ave,Burglary
2471,2010-06-19 00:00:00,11th St & Spruce St,Theft From Vehicle
2472,2010-04-10 00:00:00,1200 Block College Ave,Vandalism
2473,2009-04-29 00:00:00,1700 Block 29th St,Burglary
2474,2011-02-16 00:00:00,3300 Block Iris Ave,Incident
2475,2012-04-27 00:00:00,9th St & Marine St,Vandalism
2476,2009-06-26 00:00:00,3700 Block Walnut St,Burglary
2477,2009-01-09 00:00:00,6th St & Locust Ave,Theft From Vehicle
2478,2009-08-31 00:00:00,13th St & Arapahoe Ave,Trespassing
2479,2008-12-11 00:00:00,1500 Block 48th St,Sex Assault
2480,2010-01-15 00:00:00,900 Block Broadway,Trespassing
2481,2009-09-06 00:00:00,2200 Block Walnut St,Burglary
2482,2008-07-05 00:00:00,3300 Block Dover Dr,Vandalism
2483,2010-11-22 00:00:00,1400 Block Spruce St,Trespassing
2484,2008-07-20 00:00:00,5000 Block Butte St,Vandalism
2485,2011-11-12 00:00:00,2800 Block E Aurora Ave,Robbery
2486,2009-11-07 00:00:00,2900 Block Pearl St,Theft From Vehicle
2487,2012-05-19 00:00:00,2800 Block Dartmouth Ave,Vandalism
2488,2010-04-16 00:00:00,1000 Block 11th St,Assault
2489,2010-03-08 00:00:00,2300 Block 14th St,Trespassing
2490,2009-05-09 00:00:00,2800 Block 19th St,Burglary
2491,2012-01-14 00:00:00,1000 Block 14th St,Burglary
2492,2010-01-05 00:00:00,2000 Block Walnut St,Burglary
2493,2011-09-17 00:00:00,600 Block Inca Pkwy,Vandalism
2494,2011-03-01 00:00:00,1400 Block Pearl St,Vandalism
2495,2010-03-25 00:00:00,4500 Block 19th St,Vandalism
2496,2009-06-20 00:00:00,900 Block Grant Pl,Theft From Vehicle
2497,2008-01-09 00:00:00,4700 Block Baseline Rd,Vandalism
2498,2010-05-20 00:00:00,3400 Block Table Mesa Dr,Burglary
2499,2008-03-28 00:00:00,1000 Block 15th St,Burglary
2500,2009-07-04 00:00:00,1300 Block Arapahoe Ave,Trespassing
2501,2008-09-18 00:00:00,1700 Block Walnut St,Vandalism
2502,2010-04-12 00:00:00,1100 Block 10th St,Vandalism
2503,2010-01-02 00:00:00,3200 Block Madison Ave,Burglary
2504,2009-03-25 00:00:00,2500 Block 49th St,Auto Theft
2505,2009-05-27 00:00:00,700 Block Concord Ave,Theft From Vehicle
2506,2008-02-22 00:00:00,1200 Block College Ave,Vandalism
2507,2008-09-04 00:00:00,1500 Block Bradley Dr,Burglary
2508,2009-05-27 00:00:00,3100 Block Broadway,Theft From Vehicle
2509,2011-12-09 00:00:00,2800 Block Arapahoe Ave,Recovery
2510,2008-10-27 00:00:00,600 Block Highland Ave,Vandalism
2511,2008-04-02 00:00:00,1600 Block 38th St,Theft From Vehicle
2512,2010-05-09 00:00:00,1200 Block Pearl St,Indecent Exposure
2513,2010-01-03 00:00:00,1900 Block 29th St,Vandalism
2514,2010-04-18 00:00:00,1800 Block Mariposa Ave,Vandalism
2515,2008-11-25 00:00:00,1100 Block Berea Dr,Theft From Vehicle
2516,2009-06-15 00:00:00,3000 Block Broadway,Vandalism
2517,2008-03-14 00:00:00,1100 Block Spruce St,Vandalism
2518,2009-02-18 00:00:00,4000 Block 26th St,Burglary
2519,2009-02-02 00:00:00,4500 Block 19th St,Burglary
2520,2009-10-17 00:00:00,5000 Block Forsythe Pl,Trespassing
2521,2017-11-09 00:00:00,2700 Block Taft Dr,Burglary
2522,2017-10-25 00:00:00,2900 Block Kalmia Ave,Incident
2523,2017-11-11 00:00:00,2300 Block Pearl St,Burglary
2524,2017-11-12 00:00:00,1100 Block Monroe Dr,Burglary
2525,2017-11-13 00:00:00,1000 Block 14th St,Burglary
2526,2017-11-16 00:00:00,1900 Block 9th St,Vandalism
2527,2017-11-03 00:00:00,2800 Block Pearl St,Incident
2528,2017-11-04 00:00:00,1100 Block Pennsylvania Ave,Theft From Vehicle
2529,2017-11-04 00:00:00,2900 Block Baseline Rd,Motorcycle Theft
2530,2017-11-06 00:00:00,300 Block 28th St,Burglary
2531,2017-11-06 00:00:00,2900 Block E Aurora Ave,Motorcycle Theft
2532,2017-11-08 00:00:00,2700 Block Carnegie Dr,Theft From Vehicle
2533,2017-11-13 00:00:00,2500 Block Arapahoe Ave,Assault
2534,2017-11-04 00:00:00,1000 Block 15th St,Theft From Vehicle
2535,2017-11-05 00:00:00,2800 Block Pearl St,Theft From Vehicle
2536,2017-11-06 00:00:00,1210 Block Pleasant St,Burglary
2537,2017-11-07 00:00:00,2000 Block 14th St,Trespassing
2538,2017-11-11 00:00:00,1000 Block Grandview Ave,Sex Assault
2539,2017-11-16 00:00:00,1900 Block Walnut St,Trespassing
2540,2017-11-16 00:00:00,1800 Block 30th St,Trespassing
2541,2017-11-16 00:00:00,1400 Block Pearl St,Trespassing
2542,2017-11-30 00:00:00,500 Block Marine St,Burglary
2543,2017-11-30 00:00:00,900 Block 18th St,Assault
2544,2017-11-30 00:00:00,2600 Block Broadway,Robbery
2545,2017-11-30 00:00:00,2100 Block Folsom St,Indecency
2546,2017-10-25 00:00:00,1700 Block 15th St,Trespassing
2547,2017-11-30 00:00:00,15th St & Baseline Rd,Vandalism
2548,2017-11-16 00:00:00,3000 Block 7th St,Burglary
2549,2017-11-12 00:00:00,5800 Block N Orchard Creek Cr,Theft From Vehicle
2550,2017-11-12 00:00:00,1100 Block Pleasant St,Incident
2551,2017-11-11 00:00:00,4600 Block Broadway,Burglary
2552,2008-01-23 00:00:00,600 Block Pearl St,Theft From Vehicle
2553,2010-01-31 00:00:00,1100 Block 13th St,Trespassing
2554,2008-01-14 00:00:00,3200 Block Broadway,Burglary
2555,2009-09-11 00:00:00,15th St & Canyon Blvd,Theft From Vehicle
2556,2016-06-16 00:00:00,15th St & Pearl St,Vandalism
2557,2008-07-01 00:00:00,2900 Block Dover Dr,Theft From Vehicle
2558,2008-08-27 00:00:00,4500 Block Martin Dr,Trespassing
2559,2010-02-02 00:00:00,3000 Block Valmont Rd,Burglary
2560,2008-05-21 00:00:00,600 Block Pleasant St,Theft From Vehicle
2561,2008-11-23 00:00:00,3900 Block Walnut St,Theft Of Car Parts
2562,2008-07-11 00:00:00,1000 Block Alpine Ave,Burglary
2563,2008-09-04 00:00:00,600 Block Marine St,Trespassing
2564,2009-07-29 00:00:00,3100 Block Madison Ave,Vandalism
2565,2009-09-21 00:00:00,800 Block 14th St,Theft From Vehicle
2566,2010-03-28 00:00:00,2000 Block 14th St,Assault
2567,2008-07-21 00:00:00,3300 Block Chisholm Trl,Burglary
2568,2008-01-02 00:00:00,2500 Block Arapahoe Ave,Incident
2569,2011-01-12 00:00:00,4900 Block Moorhead Ave,Burglary
2570,2010-02-05 00:00:00,700 Block S Lashley Ln,Theft From Vehicle
2571,2009-07-04 00:00:00,1500 Block Orchard Ave,Burglary
2572,2008-10-29 00:00:00,19th St & Goss St,Theft From Vehicle
2573,2010-06-06 00:00:00,1900 Block 11th St,Assault
2574,2008-11-15 00:00:00,1000 Block 13th St,Burglary
2575,2011-01-12 00:00:00,2700 Block Baseline Rd,Trespassing
2576,2009-07-11 00:00:00,3000 Block Bluff St,Vandalism
2577,2008-06-19 00:00:00,800 Block Grant Pl,Trespassing
2578,2008-01-18 00:00:00,11th St & Spruce St,Vandalism
2579,2009-09-11 00:00:00,2600 Block Broadway,Incident
2580,2010-01-01 00:00:00,4900 Block Meredith Way,Assault
2581,2009-03-20 00:00:00,3100 Block Arnett St,Theft From Vehicle
2582,2009-01-15 00:00:00,Knox Dr & Ludlow St,Vandalism
2583,2012-04-05 00:00:00,900 Block Grant Pl,Auto Theft
2584,2008-03-16 00:00:00,1300 Block Walnut St,Auto Theft
2585,2008-03-31 00:00:00,3600 Block Frontier Ave,Auto Theft
2586,2009-01-29 00:00:00,900 Block 13th St,Trespassing
2587,2009-10-02 00:00:00,2000 Block Arapahoe Ave,Vandalism
2588,2008-09-18 00:00:00,2700 Block Northbrook Pl,Theft From Vehicle
2589,2009-02-08 00:00:00,300 Block 32nd St,Theft From Vehicle
2590,2009-03-17 00:00:00,1800 Block 29th St,Indecent Exposure
2591,2008-10-09 00:00:00,200 Block Manhattan Dr,Vandalism
2592,2009-10-31 00:00:00,3300 Block 28th St,Vandalism
